Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
137,Marcus Morris,PF,34,CLE,9,1,15.3,2.4,5.3,0.458,1.0,2.6,0.391,1.4,2.8,0.2,0.3,0.667,0.2,2.6,2.8,0.3,0.4,0.0,0.3,0.9,6.1
139,Monte Morris,PG,28,MIN,9,0,7.4,1.0,3.3,0.3,0.1,1.6,0.071,0.9,1.8,0.2,0.2,1.0,0.1,0.6,0.7,1.0,0.2,0.1,0.0,0.7,2.3
141,Jamal Murray,PG,26,DEN,12,12,38.5,8.3,20.8,0.402,1.9,6.1,0.315,6.4,14.7,2.0,2.2,0.923,0.8,3.6,4.3,5.6,0.8,0.5,2.6,2.3,20.6
142,Svi Mykhailiuk,SF,26,BOS,8,0,4.0,0.4,1.5,0.25,0.3,1.1,0.222,0.1,0.4,0.0,0.0,0.0,0.1,0.5,0.6,0.1,0.1,0.0,0.3,0.4,1.0
144,Andrew Nembhard,PG,24,IND,17,17,32.6,6.0,10.7,0.56,1.7,3.5,0.483,4.3,7.2,1.2,1.5,0.769,0.8,2.5,3.3,5.5,0.4,0.2,1.4,3.3,14.9
145,Aaron Nesmith,SF,24,IND,17,17,32.9,3.6,8.3,0.433,1.3,4.6,0.278,2.3,3.6,2.0,2.2,0.919,1.1,3.8,4.9,2.2,0.6,0.5,1.4,3.9,10.5
146,Georges Niang,PF,30,CLE,10,0,12.1,0.9,4.1,0.22,0.3,2.3,0.13,0.6,1.8,0.7,0.8,0.875,0.3,0.9,1.2,0.4,0.4,0.2,0.7,1.8,2.8
152,Isaac Okoro,SF,23,CLE,12,7,21.9,2.1,5.8,0.357,0.8,2.9,0.257,1.3,2.9,0.6,0.8,0.778,0.4,1.3,1.8,1.1,0.9,0.3,0.9,2.5,5.5
153,Kelly Oubre Jr.,SF,28,PHI,6,6,37.3,5.2,10.7,0.484,1.5,3.8,0.391,3.7,6.8,1.3,1.8,0.727,1.5,2.5,4.0,1.7,1.8,1.2,1.3,4.0,13.2
154,Cameron Payne,PG,29,PHI,5,0,12.2,2.0,5.0,0.4,1.6,3.6,0.444,0.4,1.4,0.0,0.0,0.0,0.0,1.2,1.2,1.4,0.2,0.8,0.6,2.0,5.6
156,Mason Plumlee,C,33,LAC,6,0,11.0,1.2,3.0,0.389,0.0,0.0,0.0,1.2,3.0,0.8,1.3,0.625,1.2,2.2,3.3,0.7,0.5,0.3,0.3,2.2,3.2
157,Michael Porter Jr.,SF,25,DEN,12,12,36.9,5.7,12.2,0.466,2.8,6.8,0.407,2.9,5.4,1.7,2.2,0.769,0.7,6.2,6.8,1.1,0.9,0.8,1.5,2.3,15.8
158,Bobby Portis,PF,28,MIL,6,6,31.2,7.3,15.2,0.484,0.5,2.0,0.25,6.8,13.2,1.3,2.2,0.615,2.7,8.7,11.3,1.0,0.5,0.2,1.5,2.2,16.5
159,Kristaps Porzi??is,C,28,BOS,7,4,23.6,4.0,8.6,0.467,1.4,4.1,0.345,2.6,4.4,2.9,3.1,0.909,0.6,3.9,4.4,1.1,0.7,1.6,0.7,2.1,12.3
160,Dwight Powell,C,32,DAL,13,0,3.4,0.1,0.2,0.333,0.0,0.0,0.0,0.1,0.2,0.3,0.5,0.667,0.2,0.7,0.9,0.2,0.1,0.0,0.2,0.7,0.5
161,Norman Powell,SG,30,LAC,6,0,29.8,4.3,10.2,0.426,2.2,4.8,0.448,2.2,5.3,2.0,2.5,0.8,0.5,2.3,2.8,0.3,0.5,0.0,1.2,3.3,12.8
162,Taurean Prince,PF,29,LAL,5,0,22.2,2.4,5.8,0.414,1.0,3.4,0.294,1.4,2.4,1.6,1.6,1.0,0.2,2.2,2.4,0.6,0.2,0.4,0.2,1.8,7.4
163,Payton Pritchard,PG,26,BOS,19,0,18.7,2.3,5.5,0.419,1.2,3.2,0.383,1.1,2.4,0.6,0.6,0.917,0.7,1.2,1.9,2.1,0.2,0.0,0.7,1.2,6.4
166,Austin Reaves,SG,25,LAL,5,5,34.8,6.0,12.6,0.476,1.4,5.2,0.269,4.6,7.4,3.4,3.8,0.895,1.0,2.8,3.8,3.6,1.4,0.6,0.8,1.6,16.8
167,Paul Reed,C,24,PHI,6,0,7.2,0.7,1.5,0.444,0.0,0.0,0.0,0.7,1.5,0.2,0.3,0.5,1.5,1.2,2.7,0.3,0.2,0.5,0.5,1.2,1.5
168,Naz Reid,C,24,MIN,16,0,22.6,4.1,8.9,0.458,1.6,4.3,0.362,2.5,4.6,1.4,1.9,0.71,0.6,3.1,3.7,1.0,0.5,0.8,0.9,2.0,11.1
169,Duncan Robinson,SF,29,MIA,5,0,12.0,1.0,3.2,0.313,0.6,2.6,0.231,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1.2,0.4,0.0,1.0,1.2,2.6
170,Mitchell Robinson,C,25,NYK,6,0,19.2,1.2,2.3,0.5,0.0,0.0,0.0,1.2,2.3,0.5,1.3,0.375,3.8,3.0,6.8,0.5,1.0,1.2,0.5,2.5,2.8
174,D'Angelo Russell,PG,27,LAL,5,5,37.0,5.6,14.6,0.384,2.8,8.8,0.318,2.8,5.8,0.2,0.4,0.5,0.2,2.6,2.8,4.2,0.8,0.2,1.8,1.2,14.2
176,Ben Sheppard,SG,22,IND,17,2,19.7,1.8,4.2,0.437,1.1,2.9,0.38,0.7,1.2,0.4,0.5,0.778,0.6,2.4,3.0,1.0,0.5,0.1,0.6,1.9,5.2
177,Pascal Siakam,PF,29,IND,17,17,35.5,9.2,17.1,0.541,0.8,2.8,0.298,8.4,14.3,2.3,3.7,0.619,2.5,5.1,7.5,3.8,0.8,0.4,1.1,2.8,21.6
178,Jericho Sims,C,25,NYK,5,0,5.4,0.4,0.4,1.0,0.0,0.0,0.0,0.4,0.4,0.6,0.8,0.75,0.6,1.0,1.6,0.2,0.4,0.2,0.0,0.2,1.4
179,Jalen Smith,C,23,IND,7,0,6.0,0.4,1.1,0.375,0.3,0.6,0.5,0.1,0.6,0.7,1.1,0.625,1.0,1.0,2.0,0.3,0.3,0.1,0.6,1.1,1.9
